emp_id;date_from;date_to;hire_date;termination_date;position;salary;employment_type
1;1900-01-01;2020-03-31;2020-01-01;2020-03-31;Księgowy;6000;na okres próbny
1;2020-04-01;2020-12-31;2020-01-01;2999-12-31;Główny Księgowy;6500;na czas nieokreślony
1;2021-01-01;2999-12-31;2020-01-01;2999-12-31;Główny Księgowy;7000;na czas nieokreślony
2;1900-01-01;2021-03-31;2021-01-01;2021-03-31;Asystent Zarządu;4000;na okres próbny
2;2021-04-01;2999-12-31;2021-01-01;2023-12-31;Asystent Zarządu;4500;na czas określony
3;1900-01-01;2021-06-30;2021-04-01;2021-06-30;Sprzedawca;5000;na okres próbny
3;2021-07-01;2999-12-31;2021-04-01;2999-12-31;Sprzedawca;5000;na czas nieokreślony
4;1900-01-01;2021-06-30;2021-04-01;2021-06-30;Sprzedawca;5000;na okres próbny
4;2021-07-01;2999-12-31;2021-04-01;2999-12-31;Sprzedawca;5000;na czas nieokreślony
5;1900-01-01;2021-06-30;2021-04-01;2021-06-30;Sprzedawca;5000;na okres próbny
5;2021-07-01;2999-12-31;2021-04-01;2999-12-31;Sprzedawca;5000;na czas nieokreślony
6;1900-01-01;2021-06-30;2021-04-01;2021-06-30;Sprzedawca;5000;na okres próbny
6;2021-07-01;2999-12-31;2021-04-01;2999-12-31;Sprzedawca;5000;na czas nieokreślony
7;1900-01-01;2022-03-31;2022-01-01;2022-03-31;Kierownik ds. Sprzedaży;8000;na okres próbny
7;2022-04-01;2999-12-31;2022-01-01;2999-12-31;Kierownik ds. Sprzedaży;8000;na czas nieokreślony
8;1900-01-01;2020-03-31;2020-01-01;2020-03-31;Specjalista ds. Płac;6000;na okres próbny
8;2020-04-01;2020-12-31;2020-01-01;2999-12-31;Specjalista ds. Płac;6500;na czas nieokreślony
8;2021-01-01;2999-12-31;2020-01-01;2999-12-31;Specjalista ds. Płac;7000;na czas nieokreślony
9;1900-01-01;2020-03-31;2020-01-01;2020-03-31;Specjalista ds. Kadr;5000;na okres próbny
9;2020-04-01;2023-12-31;2020-01-01;2999-12-31;Specjalista ds. Kadr;5500;na czas nieokreślony
9;2024-01-01;2999-12-31;2020-01-01;2999-12-31;Starszy Specjalista ds. Płac;7000;na czas nieokreślony
10;1900-01-01;2999-12-31;2023-06-01;2023-08-31;Stażysta;3500;na okres próbny
